"AA","AB","AC","BA","BB","BC","CA","CB","CC"
"41019884",0,0.666666666666667,0.333333333333333,0.4,0.4,0,1,0,0
"41019942",0.6,0.2,0,1,0,0,0,0,0
"41020005",0.833333333333333,0,0,1,0,0,0,0,0
"41020235",0.4,0.2,0.2,0.4,0.6,0,0,1,0
"41020284",0,0.5,0.25,0.5,0,0.25,0,1,0
"41020286",0.25,0.5,0,1,0,0,0,0,0
"41020311",0.428571428571429,0.285714285714286,0.142857142857143,1,0,0,1,0,0
"41020367",0.75,0,0,1,0,0,0,0,0
"41020385",0.666666666666667,0,0,0,0,0,0,0,0
"41020436",0.6,0,0.2,1,0,0,0,1,0
"41020466",0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.5,0.5,0
"41020593",0.25,0,0.5,0.25,0.25,0.25,0.666666666666667,0.333333333333333,0
"41020745",0.5,0,0.25,0,0,0,1,0,0
"41020767",0.75,0,0.25,0.5,0,0,0,1,0
"41020964",0.5,0.25,0,0.333333333333333,0.666666666666667,0,1,0,0
"41021233",0.666666666666667,0,0.333333333333333,0,0,1,0,0.5,0
"41021272",0.25,0.25,0.25,0.4,0.6,0,0,1,0
"41021287",0.75,0,0,1,0,0,0,0,0
"41021523",0.666666666666667,0,0,0.333333333333333,0.666666666666667,0,0,0,0
"41021528",0.5,0.25,0,0.5,0.5,0,0,0,0
"41021766",0,0.5,0.5,0.25,0.25,0,0.333333333333333,0.333333333333333,0.333333333333333
"41021821",0,0.8,0,0.142857142857143,0.285714285714286,0.428571428571429,0.8,0.2,0
"41021933",0.5,0.25,0,1,0,0,0,1,0
"41021991",0.428571428571429,0.142857142857143,0.285714285714286,1,0,0,1,0,0
"41022041",0.75,0,0,0,0,0,0,0,0
"41022153",0.75,0,0,0,0,0,0,0,0
"41022200",0.333333333333333,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"41022267",0.5,0.25,0,0.25,0.25,0.5,0.25,0.25,0.5
"41022471",0.25,0.75,0,0.333333333333333,0.166666666666667,0.166666666666667,0.5,0.5,0
"41022489",0,0.333333333333333,0.333333333333333,1,0,0,0.666666666666667,0.333333333333333,0
"41022513",0.5,0,0.25,0.5,0.5,0,0.5,0.5,0
"41022554",0.333333333333333,0.5,0,1,0,0,0,0,0
"41022628",0.428571428571429,0.285714285714286,0.142857142857143,1,0,0,1,0,0
"41022637",0.4,0.2,0.2,0.5,0.5,0,1,0,0
"41022701",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"41022746",0.25,0.5,0,0.666666666666667,0.333333333333333,0,0,0,0
"41022790",0.285714285714286,0.571428571428571,0,1,0,0,1,0,0
"41022886",0.6,0.2,0,0.5,0,0.5,1,0,0
"41022984",0.333333333333333,0.333333333333333,0,0,0,0,0,0,0
"41022989",0.5,0,0.25,1,0,0,0,1,0
"41022993",0.5,0.25,0,0.5,0.5,0,0,0,0
"41023453",0.333333333333333,0,0,0,0,0,0,0,0
"41023553",0,0,0.5,1,0,0,0,1,0
"41023641",0.5,0.333333333333333,0,1,0,0,0,0,0
"41023651",0.6,0,0.2,1,0,0,1,0,0
"41023695",0.5,0.166666666666667,0,1,0,0,1,0,0
"41023740",0.166666666666667,0.833333333333333,0,0.571428571428571,0.285714285714286,0,1,0,0
"41023838",0,0.333333333333333,0.333333333333333,0.2,0.4,0.4,0.5,0,0.25
"41023847",0.333333333333333,0.333333333333333,0,1,0,0,0,0,0
"41023988",0,0.5,0.5,0.25,0,0.75,0.5,0.166666666666667,0.166666666666667
"41023991",0.5,0.125,0.25,1,0,0,1,0,0
"41024174",0.333333333333333,0.666666666666667,0,0.2,0.6,0,1,0,0
"41024190",0.333333333333333,0.333333333333333,0.333333333333333,0,0.4,0.6,0.333333333333333,0.333333333333333,0.166666666666667
"41024211",0.166666666666667,0.666666666666667,0,1,0,0,1,0,0
"41024813",0,0.5,0.5,0.4,0.2,0.2,0.666666666666667,0.333333333333333,0
"41024941",0.6,0.2,0,0.5,0,0.5,0.5,0.5,0
"41024987",0.444444444444444,0.444444444444444,0,1,0,0,1,0,0
"41025084",0.2,0.6,0,1,0,0,0,0,0
"41025191",0.4,0,0.4,0,0,0,1,0,0
"41025252",0.166666666666667,0.666666666666667,0,1,0,0,0,0,0
"41025331",0.5,0.25,0.125,0.666666666666667,0,0.333333333333333,0.666666666666667,0.333333333333333,0
"41025359",0.333333333333333,0.333333333333333,0.166666666666667,1,0,0,1,0,0
"41025692",0.25,0.5,0,0.4,0.4,0.2,1,0,0
"41026002",0.333333333333333,0.666666666666667,0,0.4,0.4,0,0,0,0
"41026182",0.75,0,0,0,0,0,1,0,0
"41026438",0.5,0.25,0,1,0,0,0,0,0
"41026458",0.285714285714286,0.142857142857143,0.285714285714286,1,0,0,1,0,0
"41026496",0.833333333333333,0,0,0,0,0,0,0,0
"41026617",0.6,0.2,0,1,0,0,0,0,0
"41026640",0.5,0.25,0,1,0,0,0,0,0
"41026692",0.6,0.2,0,1,0,0,0,0,0
"41026782",0.25,0,0.25,0,0,0,0.75,0,0.25
"41026847",0.4,0.4,0,0.75,0.25,0,0,0,0
"41026945",0.25,0.5,0.25,0.333333333333333,0.333333333333333,0,1,0,0
"41027331",0.6,0,0,0,0,0,0,0,0
"41027385",0,0.666666666666667,0,0.6,0.4,0,0,0,0
"41027520",0.5,0,0,1,0,0,1,0,0
"41027620",0.333333333333333,0,0.5,1,0,0,0.5,0.25,0.25
"41027711",0.4,0.2,0,1,0,0,0,0,0
"41028080",0.4,0.2,0.2,0,0.5,0,1,0,0
"41028194",0.333333333333333,0.5,0,0.6,0.4,0,0,0,0
"41028321",0,1,0,0.285714285714286,0.428571428571429,0.142857142857143,0,0,0
"41028460",0.5,0.25,0,0.333333333333333,0.5,0.166666666666667,0,0,0
"41028662",0.666666666666667,0,0,0.5,0.5,0,0,1,0
"41028671",0.25,0.5,0,0.666666666666667,0.333333333333333,0,0,0,0
"41028791",0.75,0,0,0,0,0,0,0,0
"41028838",0.666666666666667,0,0,0,0,0,0,0,0
"41028918",0.75,0,0,0,0,0,0,0,0
"41028925",0.25,0.25,0.5,0.5,0.25,0,0.25,0.25,0.5
"41029140",0.5,0.5,0,0,0,0,0,0,0
"41029257",0,0.25,0,0.2,0.6,0,1,0,0
"41029337",0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333,0,1,0
"41029356",0,1,0,0.166666666666667,0.5,0,1,0,0
"41029411",0.25,0.25,0.25,0.6,0.2,0.2,0,1,0
"41029591",0.2,0.2,0.2,1,0,0,1,0,0
"41029790",0.333333333333333,0.333333333333333,0.166666666666667,0.75,0.25,0,0.5,0.5,0
"41029870",0.4,0.4,0,0.6,0.2,0,0,1,0
"41029952",0.25,0.75,0,0.6,0,0.4,0,0.5,0
"41030244",0.5,0,0.5,0,0,0,0,0,0
"41030615",0.333333333333333,0.333333333333333,0,1,0,0,0,0,0
"41030732",0.2,0.8,0,0.5,0.333333333333333,0,1,0,0
"41030858",0,0.5,0.5,0.2,0.6,0,1,0,0
"41030870",0.666666666666667,0,0,0,0,0,0,0,0
"41030972",0.571428571428571,0.285714285714286,0,1,0,0,0,0,0
"41030982",0.5,0,0,0,0.25,0.75,0.2,0.4,0.2
"41031137",0.75,0,0,1,0,0,0,0,0
"41031150",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"41031273",0,0.666666666666667,0,0.285714285714286,0.571428571428571,0.142857142857143,0.5,0.5,0
"41031583",0,0,0,0.142857142857143,0.714285714285714,0.142857142857143,0,1,0
"41031707",0,0.666666666666667,0,0.5,0.5,0,0,0,0
"41031832",0.5,0.333333333333333,0,1,0,0,0,0,0
"41031977",0.75,0,0,0,0,0,0,0,0
"41032365",0.8,0.2,0,0.2,0.6,0,0,0,0
"41032440",0.6,0,0.2,0,0,0,1,0,0
"41032444",0.333333333333333,0.333333333333333,0,0.5,0,0.5,0,0,0
"41032639",0.25,0.5,0,1,0,0,0,0,0
"41032752",0.4,0.4,0,1,0,0,0,0,0
"41033036",0,0.333333333333333,0,0.428571428571429,0.428571428571429,0.142857142857143,0,1,0
"41033173",0.2,0.6,0,0.8,0.2,0,0,0,0
"41033184",0.5,0.25,0,1,0,0,0,0,0
"41033197",0.5,0.25,0,1,0,0,0,0,0
"41033207",0.666666666666667,0,0,0,0,0,0,0,0
"41033313",0.5,0.25,0,1,0,0,0,0,0
"41033350",0.75,0,0,0.25,0.75,0,0,1,0
"41033533",0,0.5,0.25,0.6,0.4,0,0.333333333333333,0.333333333333333,0.333333333333333
"41033548",0.5,0.5,0,0,0.625,0.125,0,0,0
"41033693",0.4,0,0.4,0.5,0.5,0,0.5,0.5,0
"41034123",0.833333333333333,0,0,0,0.5,0.5,1,0,0
"41034277",0.25,0.5,0,1,0,0,0,0,0
"41034526",0,0,0.5,0.2,0.2,0.6,0.166666666666667,0.5,0.166666666666667
"41034539",0.333333333333333,0.333333333333333,0,0.5,0,0.5,0.333333333333333,0,0.333333333333333
"41034980",0,0,1,0,0.25,0.25,0.6,0.4,0
"41035072",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"41035201",0.5,0.25,0,1,0,0,0,0,0
"41035292",0.5,0.333333333333333,0,1,0,0,0,0,0
"41035324",0.75,0,0,0,0,0,0,0,0
"41035387",0.666666666666667,0,0.166666666666667,1,0,0,1,0,0
"41035478",0,0.5,0.5,0.25,0.25,0.25,0,1,0
"41035487",0.5,0,0.25,0,0,0,1,0,0
"41035652",0.5,0.166666666666667,0.166666666666667,1,0,0,0.5,0,0.5
"41035706",0.166666666666667,0.5,0,1,0,0,0,0,0
"41035793",0.2,0.2,0.4,1,0,0,1,0,0
"41036011",0,0.666666666666667,0.333333333333333,0.5,0.25,0,1,0,0
"41036247",0.333333333333333,0.5,0,1,0,0,0,0,0
"41036291",0.6,0.2,0,1,0,0,0,0,0
"41036469",0.5,0.5,0,0.5,0,0,0,0,0
"41036474",0.571428571428571,0,0.285714285714286,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333
"41036561",0,1,0,0.4,0.2,0.2,0,1,0
"41037105",0.714285714285714,0,0,1,0,0,0,0,0
"41037118",0,0.5,0.25,0.6,0.4,0,1,0,0
"41037278",0.5,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"41037299",0.666666666666667,0.333333333333333,0,0.166666666666667,0.666666666666667,0,0,1,0
"41037770",0.666666666666667,0,0,0,0,0,0,0,0
"41037812",0.666666666666667,0,0,0,0.25,0.5,0.25,0.25,0.5
"41037844",0.2,0.4,0,0.6,0.2,0.2,1,0,0
"41037850",0.4,0.4,0,1,0,0,1,0,0
"41038028",0.2,0.2,0.2,1,0,0,0.5,0,0.5
"41038085",0.5,0.25,0,1,0,0,0,0,0
"41038109",0.4,0.2,0.2,1,0,0,1,0,0
"41038244",0.666666666666667,0,0,0,0,0,0,0,0
"41038249",0.25,0.25,0.25,1,0,0,0,1,0
"41038490",0.333333333333333,0.666666666666667,0,0.4,0.4,0,0,0,0
"41038561",0.625,0.25,0,0.75,0.25,0,0,0,0
"41038585",0.571428571428571,0.142857142857143,0.142857142857143,0.333333333333333,0.666666666666667,0,1,0,0
"41038600",0.5,0.125,0.25,1,0,0,0.75,0,0.25
"41038679",0,1,0,0,0.375,0.5,0.2,0.6,0.2
"41038749",0.428571428571429,0.285714285714286,0.142857142857143,1,0,0,1,0,0
"41038997",0.5,0,0.166666666666667,0,0,0,1,0,0
"41039019",0.333333333333333,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0,1,0,0
"41039033",0.4,0.4,0,1,0,0,0,0,0
"41039041",0.333333333333333,0.166666666666667,0.166666666666667,0.75,0.25,0,0,0,0
"41039166",0,1,0,0,0.7,0.2,1,0,0
"41039214",0.4,0.4,0,1,0,0,0,0,0
"41039229",0,1,0,0.5,0,0.333333333333333,0.5,0,0
"41039631",0.333333333333333,0,0,0.5,0,0,0.5,0.5,0
"41039634",0.571428571428571,0,0.285714285714286,0.75,0.25,0,0,1,0
"41039810",0.5,0.25,0,1,0,0,0,0,0
"41039814",0.75,0,0,1,0,0,0,0,0
"41039861",0.5,0.25,0,1,0,0,0,0,0
"41039876",0.4,0.4,0,0.666666666666667,0.333333333333333,0,0,0,0
"41040000",0.75,0,0,0,0,0,0,0,0
"41040202",0.5,0.25,0,1,0,0,0,0,0
"41040222",0.666666666666667,0.333333333333333,0,0,0.2,0.2,0.5,0.5,0
"41040365",0.5,0,0,0,0,0,0,0,0
"41040376",0.6,0,0.2,1,0,0,1,0,0
"41040405",0.4,0.2,0,0.333333333333333,0.333333333333333,0,0,0,0
"41040655",0.5,0.25,0,1,0,0,0,0,0
"41040849",0.333333333333333,0.166666666666667,0.333333333333333,1,0,0,1,0,0
"41041142",0.666666666666667,0,0,0,0,0,1,0,0
"41041594",0.5,0,0,0.2,0.8,0,0,0,0
"41041697",0.5,0.166666666666667,0,1,0,0,1,0,0
"41041733",0.166666666666667,0.5,0.166666666666667,0.833333333333333,0.166666666666667,0,0,0.5,0.5
"41041936",0.2,0.6,0,1,0,0,1,0,0
"41042010",0.4,0.4,0,1,0,0,0,0,0
"41042104",0,0.4,0.4,0.333333333333333,0,0.666666666666667,1,0,0
"41042200",0.5,0.25,0,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0
"41042279",0.75,0,0,0,0,0,0,0,0
"41042383",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0,0,1,0
"41042416",0.4,0.2,0.2,1,0,0,1,0,0
"41042427",0.75,0,0,0,0,0,0,0,0
"41042466",0.2,0.4,0,1,0,0,1,0,0
"41042573",0.166666666666667,0.333333333333333,0.333333333333333,0.6,0.4,0,1,0,0
"41042574",0.285714285714286,0.285714285714286,0.285714285714286,1,0,0,0.5,0.5,0
"41042881",0.4,0.2,0,0.5,0.5,0,0,0,0
"41042983",0.666666666666667,0,0,0,0,0,0,0,0
"41043103",0.75,0,0,0,0,0,1,0,0
"41043128",0,0.333333333333333,0.333333333333333,0.25,0.5,0.25,1,0,0
"41043157",0.5,0.5,0,0,0.75,0,1,0,0
"41043476",0.714285714285714,0,0,1,0,0,0,0,0
"41043494",0,0,1,0.142857142857143,0.571428571428571,0.142857142857143,0,0.5,0
"41043568",0.75,0,0,1,0,0,0,0,0
"41043903",0.333333333333333,0.333333333333333,0.166666666666667,1,0,0,1,0,0
"41043971",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"41044065",0.333333333333333,0.333333333333333,0.166666666666667,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333
"41044362",0,0.5,0.25,0.333333333333333,0.666666666666667,0,1,0,0
"41044394",0.75,0,0,0,0,0,0,0,0
"41044474",0.666666666666667,0.166666666666667,0,0.666666666666667,0.333333333333333,0,0,0,0
"41044538",0.666666666666667,0,0,0,0,0,0,0,0
"41044592",0.4,0.4,0,1,0,0,0,0,0
"41044671",0.6,0.2,0,1,0,0,0,0,0
"41044884",0,0.6,0,1,0,0,0,0,0
"41045928",0.5,0.25,0,1,0,0,1,0,0
"41045939",0.6,0,0,1,0,0,0,0,0
"41046187",0.6,0.2,0,1,0,0,0,0,0
"41046225",0.5,0.5,0,0.5,0,0,0,0,0
"41046279",0.4,0.4,0,1,0,0,0,0,0
"41046353",0.333333333333333,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"41046407",0.5,0,0.25,1,0,0,0.5,0,0.5
"41046455",0.5,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"41046488",0,0.333333333333333,0.333333333333333,0.5,0.5,0,0,1,0
"41046492",0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.25,0.5,0.25
"41046505",0.5,0.333333333333333,0,1,0,0,1,0,0
"41046514",0.4,0.2,0.2,1,0,0,1,0,0
"41046558",0.2,0.4,0.4,1,0,0,0.5,0,0
"41046685",0.25,0.75,0,0.666666666666667,0,0,0,0,0
"41046726",0.5,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"41046913",0.5,0,0.25,0,0,0,1,0,0
"41046954",0.6,0,0.2,1,0,0,0,1,0
"41047105",0.666666666666667,0.166666666666667,0,0.5,0,0.5,1,0,0
"41047251",0.75,0,0,0,0,0,0,0,0
"41047349",0.5,0.333333333333333,0,1,0,0,0,0,0
"41047455",0.5,0.166666666666667,0,1,0,0,0,0,0
"41047941",0.25,0,0.5,0,0,0,1,0,0
"41047999",0.75,0,0,1,0,0,0,0,0
"41048074",0.714285714285714,0.142857142857143,0,1,0,0,1,0,0
"41048382",0.2,0.4,0,1,0,0,0,0,0
"41048427",0.833333333333333,0,0,0,0,0,1,0,0
"41048429",0,0.75,0,0.75,0,0.25,1,0,0
"41049035",0.666666666666667,0,0,0,0,0,0,0,0
"41049051",0.333333333333333,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0,1,0
"41049159",0,0.25,0.25,0.333333333333333,0.333333333333333,0,1,0,0
"41049219",0.428571428571429,0.571428571428571,0,0.5,0.166666666666667,0.166666666666667,1,0,0
"41049312",0.4,0.4,0,0.75,0,0.25,0,1,0
"41049322",0,0.5,0.25,1,0,0,1,0,0
"41049375",0,0.5,0.25,0.333333333333333,0.5,0,0.666666666666667,0,0.333333333333333
"41049500",0.5,0.333333333333333,0,1,0,0,1,0,0
"41049808",0.6,0,0.2,0,0,0,1,0,0
"41050020",0.333333333333333,0.333333333333333,0,1,0,0,0,0,0
"41050063",0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0,1,0,0
"41050171",0.428571428571429,0.285714285714286,0.142857142857143,1,0,0,1,0,0
"41050224",0,1,0,0.222222222222222,0.444444444444444,0.111111111111111,0.5,0.5,0
"41050362",0.25,0.5,0,1,0,0,0,0,0
"41050494",0.2,0.4,0,0.666666666666667,0,0.333333333333333,1,0,0
"41050624",0.25,0.5,0,0.75,0.25,0,0,0,0
"41050702",0.4,0.2,0.4,0.5,0.25,0,0.5,0.5,0
"41050795",0.333333333333333,0.166666666666667,0.333333333333333,1,0,0,0.666666666666667,0.333333333333333,0
"41050812",0.166666666666667,0.5,0.166666666666667,0.6,0.2,0.2,0.666666666666667,0.333333333333333,0
"41050875",0.6,0,0.2,1,0,0,1,0,0
"41050908",0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0.4,0.2,0.4
"41050934",0.75,0,0,0,0,0,0,0,0
"41050965",0.5,0.333333333333333,0,0.75,0.25,0,0,0,0
"41051001",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"41051273",0.8,0,0,0,0,0,0,0,0
"41051406",0.2,0.2,0.6,0,0.666666666666667,0,0.6,0,0.4
"41051587",0.5,0,0.25,0,0,0,1,0,0
"41052309",0.4,0.4,0,0.333333333333333,0.5,0.166666666666667,1,0,0
"41052939",0.6,0,0.2,0.25,0.75,0,0,1,0
"41053093",0.5,0,0.25,0,0,0,1,0,0
"41053105",0.5,0.25,0,0.142857142857143,0.285714285714286,0.428571428571429,0,0.5,0.25
"41053236",0.6,0.2,0,1,0,0,0,0,0
"41053329",0.25,0.5,0,1,0,0,0,1,0
"41053746",0.5,0.25,0,1,0,0,0,0,0
"41053862",0.75,0,0,0,0,0,0,0,0
"41053864",0.25,0.5,0,0.666666666666667,0,0.333333333333333,1,0,0
"41053865",0.25,0.25,0.25,1,0,0,1,0,0
"41053879",0.4,0.2,0.2,1,0,0,1,0,0
"41054115",0,0.666666666666667,0,0.2,0,0.2,0.5,0.5,0
"41054366",0.5,0,0.25,0,0.5,0.5,0.333333333333333,0.166666666666667,0.5
"41054551",0.25,0.25,0,1,0,0,0,0,0
"41054554",0.5,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"41054647",0,0.8,0,1,0,0,0,0,0
"41054662",0.5,0,0,0,0,0,0,0,0
"41054667",0.5,0.25,0,1,0,0,0,0,0
"41054675",0.6,0,0.2,0,0,0,1,0,0
"41054687",0.75,0,0,0,0,0,0,0,0
"41054695",0,0.666666666666667,0,0.428571428571429,0.285714285714286,0.142857142857143,0,0.5,0
"41055454",0.25,0.25,0.25,0.666666666666667,0.333333333333333,0,0,1,0
"41055817",0.333333333333333,0.666666666666667,0,0.2,0,0.6,0.333333333333333,0.333333333333333,0
"41055920",0.5,0.25,0,0.4,0.6,0,0,0,0
"41055922",0.5,0.5,0,0.5,0,0,0,0,0
"41055930",0.75,0,0,0.333333333333333,0.666666666666667,0,0,0,0
"41055968",0.833333333333333,0,0,1,0,0,0,0,0
"41056088",0.333333333333333,0.5,0,1,0,0,0,0,0
"41056159",0,0.8,0,0.6,0.2,0.2,1,0,0
"41056164",0.285714285714286,0.428571428571429,0.142857142857143,1,0,0,1,0,0
"41056183",0.333333333333333,0.666666666666667,0,0.2,0.4,0.2,0.5,0.5,0
"41056188",0.25,0.5,0,1,0,0,0,0,0
"41056200",0.6,0.2,0,1,0,0,0,0,0
"41056253",0.2,0.4,0.2,0.75,0.25,0,1,0,0
"41056307",0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0,0,0
"41056355",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"41056433",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"41056448",0.6,0.2,0,1,0,0,0,0,0
"41056943",0.5,0,0,1,0,0,0,0,0
"41057024",0,0,0,0,0.857142857142857,0,0,0.5,0.5
"41057286",0.75,0,0.25,0.333333333333333,0.333333333333333,0,0,1,0
"41057360",0.333333333333333,0,0.333333333333333,0.5,0.5,0,0.5,0.5,0
"41057625",0.666666666666667,0,0,1,0,0,0,0,0
"41057755",0.4,0,0.4,1,0,0,1,0,0
"41057918",0.25,0.5,0,0.5,0,0.5,1,0,0
"41057946",0.6,0,0.2,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0
"41057950",0,0.8,0.2,0.8,0,0,1,0,0
"41058019",0,0.571428571428571,0.285714285714286,1,0,0,1,0,0
"41058103",0.25,0.5,0,0.666666666666667,0.333333333333333,0,0,0,0
"41058206",0.5,0.166666666666667,0,1,0,0,0,0,0
"41058228",0.333333333333333,0.666666666666667,0,0.25,0.5,0,0,0,0
"41058276",0.5,0.25,0,0.5,0.5,0,1,0,0
"41058317",0,0,1,0,0,0.5,0,1,0
"41058847",0.833333333333333,0,0,0,0,0,0,0,0
"41058883",0.6,0.2,0,1,0,0,0,0,0
"41058915",0.25,0.25,0.25,0.5,0.5,0,0.666666666666667,0,0.333333333333333
"41059016",0.25,0.25,0.25,0.2,0.6,0,1,0,0
"41059145",0.5,0.25,0,1,0,0,0.5,0,0.5
"41059241",0.666666666666667,0,0,0,0,1,1,0,0
"41059649",0.875,0,0,1,0,0,0,1,0
"41059709",0.857142857142857,0,0,0,0,0,0,0,0
"41059712",0.4,0.4,0,1,0,0,0,0,0
"41059781",0.8,0,0,1,0,0,0,0,0
"41060064",0.75,0,0,0,0,0,0,0,0
"41060127",0.333333333333333,0.5,0,1,0,0,0,0,0
"41060193",0.5,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"41060552",0.166666666666667,0.666666666666667,0,0.833333333333333,0,0,0,0,0
"41060762",0.714285714285714,0.142857142857143,0,1,0,0,0,0,0
"41060783",0.5,0.25,0,0.5,0.25,0.25,0,0.5,0.5
"41060816",0,0.666666666666667,0,0.375,0.625,0,0,1,0
"41060828",0.75,0,0,0,0,0,0,0,0
"41060830",0,1,0,0.125,0.75,0,0,1,0
"41060947",0.6,0.2,0,1,0,0,1,0,0
"41061016",0.2,0.8,0,0.666666666666667,0.166666666666667,0,0,0,0
"41061082",0.75,0,0,1,0,0,0,0,0
"41061112",0.5,0.5,0,0.6,0,0.2,0,1,0
"41061355",0.428571428571429,0.142857142857143,0.285714285714286,0,0,1,1,0,0
"41061743",0,0.666666666666667,0.333333333333333,0.5,0.25,0,0.5,0,0.5
"41061748",0,0.333333333333333,0.333333333333333,1,0,0,0,1,0
"41061861",0.2,0.4,0.2,1,0,0,1,0,0
"41061893",0.5,0.25,0,0,0.666666666666667,0.333333333333333,1,0,0
"41061923",0.4,0.6,0,0.5,0.25,0,1,0,0
"41062070",0.8,0,0,0,0,0,0,0,0
"41062076",0.666666666666667,0,0,0,0,0,0,0,0
"41062281",0,0.333333333333333,0.333333333333333,0.428571428571429,0.428571428571429,0.142857142857143,0,0.666666666666667,0.333333333333333
"41062347",0.2,0.4,0.2,1,0,0,1,0,0
"41062507",0.25,0.25,0.25,0.666666666666667,0,0.333333333333333,0.5,0,0
"41062695",0.2,0.4,0.2,1,0,0,1,0,0
"41062696",0.428571428571429,0.428571428571429,0,1,0,0,0,0,0
"41062874",0.4,0.2,0,1,0,0,0,0,0
"41063201",0.5,0.25,0,1,0,0,0,0,0
"41063283",0.6,0,0.2,0.333333333333333,0.666666666666667,0,1,0,0
"41063300",0.714285714285714,0.142857142857143,0,1,0,0,1,0,0
"41063464",0.6,0.2,0,1,0,0,0,0,0
"41063946",0,0.666666666666667,0,0,0.5,0.25,1,0,0
"41063955",0.6,0.2,0,0,0,1,1,0,0
"41063983",0.666666666666667,0,0.333333333333333,0.5,0,0,0,1,0
"41064060",0.6,0,0.2,0.666666666666667,0.333333333333333,0,0,1,0
"41064183",0.25,0.5,0,0.666666666666667,0,0.333333333333333,0,1,0
"41064439",0.25,0.75,0,0.428571428571429,0.428571428571429,0,0,0,0
"41064708",0.75,0,0,1,0,0,0,0,0
"41064834",0.6,0.2,0,1,0,0,1,0,0
"41064849",0.75,0,0,1,0,0,0,0,0
"41064863",0.6,0.2,0,1,0,0,0,0,0
"41065348",0.666666666666667,0,0,0,0,0,0,0,0
"41065354",0.666666666666667,0,0,0,0,0,0,0,0
"41065828",0.6,0.2,0,1,0,0,0,0,0
"41065858",0,1,0,0,0.5,0.25,1,0,0
"41066097",0.2,0.6,0,0.428571428571429,0.142857142857143,0.428571428571429,0.2,0.6,0.2
"41066105",0.5,0.25,0,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0
"41066358",0.666666666666667,0.166666666666667,0,0.5,0.5,0,0,0,0
"41066432",0.25,0.5,0.25,0.5,0.25,0,0.25,0.25,0.25
"41066599",0.75,0,0,0,0,0,0,0,0
"41066646",0.6,0,0.2,0,0,0,1,0,0
"41066767",0.4,0.2,0.2,1,0,0,1,0,0
"41066771",0.75,0,0,0,0,0,0,0,0
"41066841",0.75,0,0,0,0,0,1,0,0
"41067225",0.25,0,0.25,0,0,0,1,0,0
"41067289",0.25,0.25,0.375,1,0,0,1,0,0
"41067341",0.333333333333333,0.333333333333333,0.166666666666667,1,0,0,1,0,0
"41067496",0.75,0,0,0,0,0,0,0,0
"41067497",0.666666666666667,0.166666666666667,0,0.333333333333333,0.333333333333333,0,1,0,0
"41067502",0.2,0.4,0.2,1,0,0,1,0,0
"41067651",0.5,0.166666666666667,0,1,0,0,1,0,0
"41067696",0.666666666666667,0,0,0,0,0,0,0,0
"41067699",0,0.333333333333333,0.333333333333333,0.75,0.25,0,0,1,0
"41067778",0.5,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"41067996",0,0.6,0,1,0,0,0,0,0
"41068088",0.75,0,0,1,0,0,0,0,0
"41068099",0.25,0.75,0,0.5,0.25,0,0,0,0
"41068133",0.5,0,0.25,1,0,0,0.5,0,0.5
"41068134",0,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0,0.5,0.5,0
"41068173",0,0,0.5,0,0,0.5,0,0.5,0.5
"41068312",0.4,0.4,0,1,0,0,0,0,0
"41068336",0.25,0.25,0.25,0.5,0,0.5,1,0,0
"41068364",0.714285714285714,0,0.142857142857143,0,0,0,0.666666666666667,0,0.333333333333333
"41068439",0.333333333333333,0.333333333333333,0.166666666666667,0.5,0,0.5,1,0,0
"41068451",0,0.5,0,0,0.333333333333333,0,0,1,0
