"AA","AB","AC","BA","BB","BC","CA","CB","CC"
"40365288",0.5,0.25,0,0.5,0,0.5,0.5,0.5,0
"40365293",0.4,0.4,0,1,0,0,1,0,0
"40365348",0.333333333333333,0.333333333333333,0,0.666666666666667,0,0,0,1,0
"40365355",0.25,0.5,0,1,0,0,1,0,0
"40365361",0,0.25,0.5,1,0,0,0.333333333333333,0,0.333333333333333
"40365387",0.2,0.6,0,1,0,0,0,0,0
"40365414",0.5,0.333333333333333,0.166666666666667,0.4,0.4,0,1,0,0
"40365423",0,0.333333333333333,0.333333333333333,0.25,0.375,0.375,0.2,0.8,0
"40365454",0,1,0,0.428571428571429,0.428571428571429,0,0,0,0
"40365472",0.4,0.2,0,1,0,0,0,0,0
"40365473",0.75,0,0.25,0,0,0,0,1,0
"40365499",0.333333333333333,0.333333333333333,0,0.5,0.25,0.25,0.333333333333333,0,0
"40365525",0.5,0,0.25,0.5,0.5,0,0,1,0
"40365526",0.25,0.5,0,1,0,0,0,0,0
"40365546",0.4,0.4,0,0.5,0.25,0,0,0,0
"40365577",0.4,0.2,0.2,1,0,0,1,0,0
"40365592",0.2,0.6,0.2,0.2,0.2,0.2,0.5,0.25,0.25
"40365627",0.75,0.125,0,1,0,0,1,0,0
"40365632",0.714285714285714,0.142857142857143,0,1,0,0,0,0,0
"40365633",0.2,0.6,0.2,0.5,0.375,0,0,1,0
"40365644",0.6,0.2,0,1,0,0,0,0,0
"40365692",0.5,0.5,0,0,0.5,0,0,0,0
"40365709",0,0,1,0,0.5,0,0,1,0
"40365726",0.6,0.2,0,1,0,0,0,0,0
"40365784",0.6,0,0.2,0,0,0,1,0,0
"40365789",0.25,0.5,0,1,0,0,0,0,0
"40365841",0.666666666666667,0.166666666666667,0,1,0,0,0,0,0
"40365844",0.714285714285714,0.142857142857143,0,1,0,0,0,0,0
"40365871",0.333333333333333,0.5,0,1,0,0,0,0,0
"40365882",0.333333333333333,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"40365893",0.25,0.5,0,0.25,0.5,0.25,1,0,0
"40365904",0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333
"40365938",0.333333333333333,0,0.333333333333333,0,0.75,0.25,1,0,0
"40365942",0,0.5,0.5,0.166666666666667,0.5,0.166666666666667,0.5,0.5,0
"40365968",0.4,0.4,0.2,0.5,0.25,0,0.5,0.5,0
"40365972",0.6,0.2,0,1,0,0,0,0,0
"40366002",0.6,0.2,0,1,0,0,0,0,0
"40366054",0.5,0.166666666666667,0.166666666666667,1,0,0,1,0,0
"40366109",0,0.333333333333333,0.333333333333333,0,0,0,1,0,0
"40366132",0.333333333333333,0.333333333333333,0,0.5,0.5,0,0,0,0
"40366154",0.2,0.2,0.4,0.5,0.5,0,1,0,0
"40366157",0,0.5,0,0,0.2,0.8,0.166666666666667,0.166666666666667,0.333333333333333
"40366162",0,0.5,0.5,0.4,0.4,0.2,0,0.5,0
"40366214",0.5,0.25,0,0.333333333333333,0,0.333333333333333,0,1,0
"40366222",0.6,0,0.2,0,0,0,1,0,0
"40366230",0.333333333333333,0.333333333333333,0,1,0,0,0.5,0,0.5
"40366284",0.166666666666667,0.166666666666667,0.5,0.25,0.75,0,0.666666666666667,0,0.166666666666667
"40366356",0.25,0.5,0.25,0.5,0,0.5,0.666666666666667,0,0
"40366361",0.5,0.25,0,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0
"40366379",0.333333333333333,0.5,0,1,0,0,1,0,0
